radius_micron;freq
0.002427;0
0.002616;0.007035
0.00284;0
0.003074;0
0.003327;0
0.003601;0.002011
0.003898;0.000463
0.00422;0
0.004568;0.001203
0.004944;0
0.005352;0
0.005792;0
0.00627;0
0.006786;0
0.007346;0
0.007952;0
0.008607;0
0.009318;0
0.010085;0
0.010918;0
0.011816;0
0.012793;0.001463
0.013842;0.006237
0.014986;0.003072
0.016225;0.001751
0.017557;0.005228
0.019006;0.002541
0.020575;0.003524
0.022262;0.003702
0.024098;0.002582
0.026077;0.001777
0.028219;0.002587
0.030564;0.005706
0.033079;0
0.0358;0.002118
0.03876;0.002069
0.041954;0.001676
0.045425;0.002592
0.049164;0.004251
0.053238;0.000721
0.057629;0.001682
0.062347;0.002987
0.06751;0.00118
0.073076;0.004643
0.079137;0
0.085666;0.003576
0.092674;0.00592
0.100417;0.001231
0.10862;0.002237
0.117593;0.002686
0.127385;0.001503
0.137879;0.002829
0.149403;0.001437
0.161944;0.003294
0.174889;0.001854
0.189643;0.00128
0.205157;0.002448
0.2224;0.002196
0.239971;0.003
0.260875;0.002313
0.282049;0.003264
0.305103;0.00258
0.331447;0.008037
0.358902;0.002213
0.387916;0.004317
0.420536;0.002185
0.454752;0.004363
0.494319;0.002336
0.535865;0.004229
0.578425;0.003369
0.631464;0.002382
0.684935;0.005131
0.737063;0.003446
0.805337;0.005125
0.867647;0.005291
0.938422;0.004349
1.02298;0.004528
1.10938;0.004576
1.206098;0.006181
1.311446;0.004675
1.406213;0.007457
1.532088;0.009046
1.683838;0.005855
1.797607;0.008649
1.945954;0.008618
2.109169;0.010145
2.308679;0.015491
2.573124;0.010633
2.741581;0.015883
3.01343;0.021544
3.374925;0.023388
3.780148;0.026724
4.242052;0.031157
4.748834;0.036071
5.325763;0.043865
5.961933;0.054526
6.677177;0.070093
7.48393;0.085154
8.387169;0.130842
9.377972;0.169255
10.52215;0.298552
11.76421;0.502586
13.20912;0.786863
14.74609;1
16.49399;0.619144
18.45786;0.30504
20.73716;0.104108
23.15478;0.03867
25.88023;0.025705
28.90409;0.019726
32.33919;0
36.3154;0
40.95402;0
45.58422;0
50.92928;0
56.86617;0
63.35869;0
70.50108;0
78.52794;0
87.42734;0
94.03718;0
